name,geom_lat,geom_long,country,place
"L8V,43.2266,-79.8499,""CA"",""Hamilton (Raleigh / Macassa / Lawfield / Thorner / Burkholme / Eastmount)"""
"L8W,43.1958,-79.8458,""CA"",""Hamilton (West Albion Falls / Hannon / Rymal / Trenholme / Quinndale / Templemead / Broughton / Eleanor / Randall / Rushdale / Butler / East Chappel)"""
"L9A,43.2271,-79.871,""CA"",""Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome)"""
"L9B,43.2055,-79.9004,""CA"",""Hamilton (Barnstown / West Chappel / Allison / Ryckmans / Mewburn / Sheldon / Falkirk / Carpenter / Kennedy / Southwest Outskirts)"""
"L9C,43.2313,-79.9049,""CA"",""Hamilton (Southam / Bonnington / Yeoville / Kernighan / Gourley / Rolston / Buchanan / Mohawk / Westcliffe / Gilbert / Gilkson / Gurnett / Fessenden / Mountview)"""
"L9E,43.5168,-79.8829,""CA"",""Milton"""
"L9G,43.1836,-79.9902,""CA"",""Ancaster West"""
"L9H,43.2638,-79.9524,""CA"",""Dundas"""
"L9J,44.3186,-79.6761,""CA"",""Barrie"""
"L9K,43.225,-79.9427,""CA"",""Ancaster East"""
"L9L,44.1068,-78.9444,""CA"",""Port Perry"""
"L9N,44.1149,-79.5014,""CA"",""Holland Landing"""
"L9P,44.1001,-79.1163,""CA"",""Uxbridge"""
"L9R,44.1501,-79.8663,""CA"",""Alliston"""
"L9S,44.3001,-79.6496,""CA"",""Innisfil"""
"L9T,43.5148,-79.884,""CA"",""Milton"""
"L9V,43.9597,-80.1079,""CA"",""Orangeville North"""
"L9W,43.9702,-80.016,""CA"",""Orangeville South"""
"L9X,44.4954,-79.8503,""CA"",""Springwater"""
"L9X,44.4001,-79.6663,""CA"",""Barrie"""
"L9X,44.4438,-79.7318,""CA"",""Midhurst"""
"L9X,44.4334,-79.833,""CA"",""Minesing"""
"L9Z,44.5168,-80.0164,""CA"",""Wasaga Beach"""
"M1B,43.8113,-79.193,""CA"",""Scarborough (Malvern / Rouge River)"""
"M1C,43.7878,-79.1564,""CA"",""Scarborough (Rouge Hill / Port Union / Highland Creek)"""
"M1E,43.7678,-79.1866,""CA"",""Scarborough (Guildwood / Morningside / Ellesmere)"""
"M1G,43.7712,-79.2144,""CA"",""Scarborough (Woburn)"""
"M1H,43.7686,-79.2389,""CA"",""Scarborough (Cedarbrae)"""
"M1J,43.7464,-79.2323,""CA"",""Scarborough (Eglinton)"""
"M1K,43.7298,-79.2639,""CA"",""Scarborough (Kennedy Park / Ionview / East Birchmount Park)"""
"M1L,43.7122,-79.2843,""CA"",""Scarborough (The Golden Mile / Clairlea / Oakridge / Birchmount Park East)"""
"M1M,43.7247,-79.2312,""CA"",""Scarborough (Cliffside / Cliffcrest / Scarborough Village West)"""
"M1N,43.6952,-79.2646,""CA"",""Scarborough (Birch Cliff / Cliffside West)"""
"M1P,43.7612,-79.2707,""CA"",""Scarborough (Dorset Park / Wexford Heights / Scarborough Town Centre)"""
"M1R,43.7507,-79.3003,""CA"",""Scarborough (Wexford / Maryvale)"""
"M1S,43.7946,-79.2644,""CA"",""Scarborough (Agincourt)"""
"M1T,43.7812,-79.3036,""CA"",""Scarborough (Clarks Corners / Tam O'Shanter / Sullivan)"""
"M1V,43.8177,-79.2819,""CA"",""Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East)"""
"M1W,43.8016,-79.3216,""CA"",""Scarborough (Steeles West / L'Amoreaux West)"""
"M1X,43.834,-79.2069,""CA"",""Scarborough (Upper Rouge)"""
"M2H,43.8015,-79.3577,""CA"",""North York (Hillcrest Village)"""
"M2J,43.7801,-79.3479,""CA"",""North York (Fairview / Henry Farm / Oriole)"""
"M2K,43.7797,-79.3813,""CA"",""North York (Bayview Village)"""
"M2L,43.7547,-79.3764,""CA"",""North York (York Mills / Silver Hills)"""
"M2M,43.7915,-79.4103,""CA"",""Willowdale East (Newtonbrook)"""
"M2N,43.7673,-79.4111,""CA"",""Willowdale South"""
"M2P,43.75,-79.3978,""CA"",""North York (York Mills West)"""
"M2R,43.7786,-79.445,""CA"",""Willowdale West"""
"M3A,43.7545,-79.33,""CA"",""North York (York Heights / Victoria Village / Parkway East)"""
"M3B,43.745,-79.359,""CA"",""Don Mills North"""
"M3C,43.7334,-79.3329,""CA"",""Don Mills South (Flemingdon Park)"""
"M3H,43.7535,-79.4472,""CA"",""North York (Armour Heights / Wilson Heights / Downsview North)"""
"M3J,43.7694,-79.4921,""CA"",""North York (Northwood Park / York University)"""
"M3K,43.739,-79.4692,""CA"",""Downsview East (CFB Toronto)"""
"M3L,43.7334,-79.5116,""CA"",""Downsview West"""
"M3M,43.7319,-79.4928,""CA"",""Downsview Central"""
"M3N,43.7568,-79.521,""CA"",""North York (Jane and Finch)"""
"M4A,43.7276,-79.3148,""CA"",""North York (Sweeney Park / Wigmore Park)"""
"M4B,43.7063,-79.3094,""CA"",""East York (Parkview Hill / Woodbine Gardens)"""
"M4C,43.6913,-79.3116,""CA"",""East York (Woodbine Heights)"""
"M4E,43.6784,-79.2941,""CA"",""East Toronto (The Beaches)"""
"M4G,43.7124,-79.3644,""CA"",""East York (Leaside)"""
"M4H,43.7059,-79.3464,""CA"",""East York (Thorncliffe Park)"""
"M4J,43.6872,-79.3368,""CA"",""East Toronto (The Danforth East)"""
"M4K,43.6803,-79.3538,""CA"",""East Toronto (The Danforth West / Riverdale)"""
"M4L,43.6693,-79.3155,""CA"",""East Toronto (India Bazaar / The Beaches West)"""
"M4M,43.6561,-79.3406,""CA"",""East Toronto (Studio District)"""
"M4N,43.7301,-79.3935,""CA"",""Central Toronto (Lawrence Park East)"""
"M4P,43.7135,-79.3887,""CA"",""Central Toronto (Davisville North)"""
"M4R,43.7143,-79.4065,""CA"",""Central Toronto (North Toronto West)"""
"M4S,43.702,-79.3853,""CA"",""Central Toronto (Davisville)"""
"M4T,43.6899,-79.3853,""CA"",""Central Toronto (Moore Park / Summerhill East)"""
"M4V,43.6861,-79.4025,""CA"",""Central Toronto (Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park)"""
"M4W,43.6827,-79.373,""CA"",""Downtown Toronto (Rosedale)"""
"M4X,43.6684,-79.3689,""CA"",""Downtown Toronto (St. James Town / Cabbagetown)"""
"M4Y,43.6656,-79.383,""CA"",""Downtown Toronto (Church and Wellesley)"""
"M5A,43.6555,-79.3626,""CA"",""Downtown Toronto (Regent Park / Port of Toronto)"""
"M5B,43.6572,-79.3783,""CA"",""Downtown Toronto (Ryerson)"""
"M5C,43.6513,-79.3756,""CA"",""Downtown Toronto (St. James Park)"""
"M5E,43.6456,-79.3754,""CA"",""Downtown Toronto (Berczy Park)"""
"M5G,43.6564,-79.386,""CA"",""Downtown Toronto (Central Bay Street)"""
"M5H,43.6496,-79.3833,""CA"",""Downtown Toronto (Richmond / Adelaide / King)"""
"M5J,43.623,-79.3936,""CA"",""Downtown Toronto (Harbourfront East / Union Station / Toronto Island)"""
"M5K,43.6469,-79.3823,""CA"",""Downtown Toronto (Toronto Dominion Centre / Design Exchange)"""
"M5L,43.6492,-79.3823,""CA"",""Downtown Toronto (Commerce Court / Victoria Hotel)"""
"M5M,43.7335,-79.4177,""CA"",""North York (Bedford Park / Lawrence Park West / Lawrence Manor East)"""
"M5N,43.7113,-79.4195,""CA"",""Central Toronto (Roselawn)"""
"M5P,43.6966,-79.412,""CA"",""Central Toronto (Forest Hill North & West)"""
"M5R,43.6736,-79.4035,""CA"",""Central Toronto (The Annex / North Midtown / Yorkville)"""
"M5S,43.6629,-79.3987,""CA"",""Downtown Toronto (University of Toronto / Harbord)"""
"M5T,43.6541,-79.3978,""CA"",""Downtown Toronto (Kensington Market / Chinatown / Grange Park)"""
"M5V,43.6404,-79.3995,""CA"",""Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ)"""
"M5W,43.6437,-79.3787,""CA"",""Downtown Toronto Stn A PO Boxes 25 The Esplanade (Enclave of M5E)"""
"M5X,43.6492,-79.3823,""CA"",""Downtown Toronto (Underground city)"""
"M6A,43.7223,-79.4504,""CA"",""North York (Lawrence Manor / Lawrence Heights)"""
"M6B,43.7081,-79.4479,""CA"",""North York (Glencairn)"""
"M6C,43.6915,-79.4307,""CA"",""York (Cedarvale)"""
"M6E,43.6889,-79.4507,""CA"",""York (Fairbank / Oakwood)"""
"M6G,43.6683,-79.4205,""CA"",""Downtown Toronto (Christie)"""
"M6H,43.6655,-79.4378,""CA"",""West Toronto (Dufferin / Dovercourt Village)"""
"M6J,43.648,-79.4177,""CA"",""West Toronto (Rua Aþores / Trinity)"""
"M6K,43.6383,-79.4301,""CA"",""West Toronto (Brockton / Parkdale Village / Exhibition Place)"""
"M6L,43.7137,-79.4869,""CA"",""North York (North Park / Maple Leaf Park / Upwood Park)"""
"M6M,43.6934,-79.4857,""CA"",""York (Del Ray / Keelsdale / Mount Dennis / Silverthorne)"""
"M6N,43.6748,-79.4839,""CA"",""York (Runnymede / The Junction North)"""
"M6P,43.6605,-79.4633,""CA"",""West Toronto (High Park / The Junction South)"""
"M6R,43.6469,-79.4521,""CA"",""West Toronto (Parkdale / Roncesvalles Village)"""
"M6S,43.6512,-79.4828,""CA"",""West Toronto (Bloor West Village / Swansea)"""
"M7A,43.6641,-79.3889,""CA"",""Queen's Park Ontario Provincial Government"""
"M7Y,43.7804,-79.2505,""CA"",""East Toronto Business Reply Mail Processing Centre 969 Eastern (Enclave of M4L)"""
"M8V,43.6075,-79.5013,""CA"",""Etobicoke (New Toronto / Mimico South / Humber Bay Shores)"""
"M8W,43.6021,-79.5402,""CA"",""Etobicoke (Alderwood / Long Branch)"""
"M8X,43.6518,-79.5076,""CA"",""Etobicoke (The Kingsway / Montgomery Road / Old Mill North)"""
"M8Y,43.6325,-79.4939,""CA"",""Etobicoke (Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East)"""
"M8Z,43.6256,-79.5231,""CA"",""Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West)"""
"M9A,43.6662,-79.5282,""CA"",""Etobicoke (Islington Avenue)"""
"M9B,43.6505,-79.5517,""CA"",""Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale)"""
"M9C,43.6437,-79.5767,""CA"",""Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods)"""
"M9L,43.7598,-79.5565,""CA"",""North York (Humber Summit)"""
"M9M,43.7366,-79.5401,""CA"",""North York (Humberlea / Emery)"""
"M9N,43.7068,-79.517,""CA"",""Weston"""
"M9P,43.6949,-79.5323,""CA"",""Etobicoke (Westmount)"""
"M9R,43.6898,-79.5582,""CA"",""Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens)"""
"M9V,43.7432,-79.5876,""CA"",""Etobicoke (South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens)"""
"M9W,43.7144,-79.5909,""CA"",""Etobicoke Northwest (Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale)"""
"N0A,42.9403,-79.945,""CA"",""West Haldimand (Port Dover)"""
"N1A,42.9001,-79.6163,""CA"",""Dunnville"""
"N1L,43.516,-80.19,""CA"",""Guelph East"""
"N3W,43.0668,-79.9329,""CA"",""Caledonia"""
